epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,5794.69,1.64796,1.2062,0.96623,0.53858,0.52895,0.52594,0.36284,1.63775,1.25451,0.98358,0.000223205,0.000223205,0.000223205
96,5854.48,1.64316,1.20238,0.96395,0.65406,0.4678,0.52029,0.35478,1.62554,1.25524,0.98184,0.000219324,0.000219324,0.000219324
97,5915.16,1.6473,1.21491,0.96011,0.62282,0.46337,0.51022,0.35324,1.61959,1.26362,0.98097,0.000215443,0.000215443,0.000215443
98,5975.26,1.64765,1.2137,0.96472,0.58531,0.48237,0.51678,0.35696,1.62917,1.25464,0.98048,0.000211562,0.000211562,0.000211562
99,6036.35,1.6348,1.17976,0.95923,0.63623,0.47528,0.51723,0.35711,1.61038,1.26471,0.97937,0.000207682,0.000207682,0.000207682
100,6095.97,1.62573,1.17889,0.96049,0.6228,0.46954,0.52397,0.36176,1.626,1.23979,0.98231,0.000203801,0.000203801,0.000203801
101,6156.62,1.6566,1.18178,0.95699,0.61583,0.47441,0.51785,0.35808,1.62885,1.24042,0.98015,0.00019992,0.00019992,0.00019992
102,6215.71,1.62272,1.22341,0.95742,0.60318,0.4839,0.51656,0.35651,1.60516,1.24431,0.97782,0.000196039,0.000196039,0.000196039
103,6276.08,1.62649,1.18562,0.95563,0.55831,0.5132,0.52416,0.35956,1.60658,1.22786,0.97523,0.000192158,0.000192158,0.000192158
104,6335.05,1.62969,1.19272,0.96181,0.60398,0.51357,0.5421,0.37162,1.60544,1.21822,0.97827,0.000188278,0.000188278,0.000188278
105,6395.33,1.64878,1.17892,0.96039,0.57509,0.49795,0.52758,0.36432,1.61895,1.24059,0.97942,0.000184397,0.000184397,0.000184397
106,6454.52,1.62258,1.18862,0.95349,0.56316,0.5112,0.53311,0.36888,1.60209,1.22353,0.97804,0.000180516,0.000180516,0.000180516
107,6515.97,1.62546,1.17337,0.95543,0.6161,0.50353,0.5394,0.36937,1.60825,1.21084,0.97879,0.000176635,0.000176635,0.000176635
108,6576.15,1.63552,1.1691,0.95793,0.59651,0.52156,0.55147,0.38174,1.60163,1.20416,0.97646,0.000172754,0.000172754,0.000172754
109,6636.65,1.61678,1.16588,0.96214,0.60804,0.49498,0.53577,0.37261,1.60319,1.19879,0.97616,0.000168874,0.000168874,0.000168874
110,6697.2,1.60919,1.17393,0.95563,0.6035,0.49177,0.53439,0.37323,1.59744,1.19601,0.9747,0.000164993,0.000164993,0.000164993
111,6757.62,1.62967,1.15323,0.95385,0.60773,0.49095,0.53623,0.37164,1.59553,1.2026,0.97428,0.000161112,0.000161112,0.000161112
112,6817.03,1.61382,1.16371,0.95487,0.65251,0.48295,0.53791,0.3741,1.58987,1.19763,0.97391,0.000157231,0.000157231,0.000157231
113,6877.32,1.61719,1.1536,0.95305,0.57502,0.50117,0.53957,0.37394,1.60551,1.19646,0.97466,0.00015335,0.00015335,0.00015335
114,6936.86,1.61341,1.16222,0.95248,0.60953,0.51101,0.54108,0.37946,1.58768,1.19007,0.97176,0.00014947,0.00014947,0.00014947
115,6997.3,1.61773,1.13294,0.94753,0.64675,0.48391,0.53917,0.37704,1.59038,1.19687,0.97247,0.000145589,0.000145589,0.000145589
116,7055.51,1.5828,1.13864,0.95119,0.63419,0.49259,0.54126,0.37757,1.57603,1.18319,0.96808,0.000141708,0.000141708,0.000141708
117,7114.87,1.5995,1.14002,0.95683,0.62153,0.50167,0.54078,0.37618,1.58969,1.18705,0.97136,0.000137827,0.000137827,0.000137827
118,7174.7,1.59512,1.14645,0.95243,0.61879,0.5112,0.55042,0.38753,1.58357,1.18166,0.97222,0.000133946,0.000133946,0.000133946
119,7233.58,1.6001,1.13929,0.95732,0.64715,0.4953,0.54934,0.38326,1.57875,1.17443,0.96789,0.000130066,0.000130066,0.000130066
120,7293.47,1.61325,1.15045,0.95127,0.63272,0.50629,0.54812,0.38476,1.58648,1.184,0.96968,0.000126185,0.000126185,0.000126185
121,7352.59,1.58698,1.11615,0.95103,0.63701,0.49722,0.54525,0.37998,1.58766,1.18689,0.97074,0.000122304,0.000122304,0.000122304
122,7412.88,1.57767,1.11226,0.94555,0.61091,0.50993,0.54795,0.37975,1.58284,1.17492,0.96888,0.000118423,0.000118423,0.000118423
123,7473.59,1.60338,1.12271,0.95132,0.62732,0.50764,0.54853,0.38141,1.57559,1.1667,0.96861,0.000114542,0.000114542,0.000114542
124,7534.35,1.57165,1.11739,0.94468,0.60306,0.51226,0.54323,0.3817,1.57146,1.16857,0.96587,0.000110662,0.000110662,0.000110662
125,7594.02,1.59109,1.11891,0.9514,0.63549,0.51049,0.55456,0.38879,1.57462,1.16451,0.96654,0.000106781,0.000106781,0.000106781
126,7654.33,1.58084,1.11808,0.9496,0.61722,0.5166,0.55586,0.38952,1.56905,1.16695,0.96697,0.0001029,0.0001029,0.0001029
127,7713.6,1.57641,1.11906,0.94062,0.61742,0.52778,0.55143,0.38446,1.57552,1.18034,0.96774,9.90192e-05,9.90192e-05,9.90192e-05
